timestamp,collected_duration,collection_duration,filtered_duration,filtration_duration,transportation_duration
2025-06-14 23:41:57,7.328000000000006,0.0002587087801657617,5.984,0.16320632625138387,0.0013775410188827664
2025-06-14 23:42:04,6.0160000000000045,0.0002446190337650478,5.344,0.04284904510132037,0.001397165993694216
2025-06-14 23:42:10,5.472000000000004,0.0002634892298374325,5.12,0.04225271809264086,0.001143458008300513
2025-06-14 23:42:16,7.552000000000006,0.0006220803770702332,6.912,0.07693966498482041,0.0032315000134985894
2025-06-14 23:42:24,6.240000000000005,0.001597878843313083,5.728,0.12723553873365745,0.0021477089903783053
2025-06-14 23:42:30,5.888000000000004,0.00039425634895451367,5.408,0.0545984628261067,0.0018955829727929085
2025-06-14 23:42:36,5.856000000000004,0.0007910430431365967,5.44,0.16955949505791068,0.03294062500935979
2025-06-14 23:42:42,6.0480000000000045,0.00038712291279807687,5.312,0.05203421303303912,0.005698499997379258
2025-06-14 23:42:48,5.824000000000004,0.0017562828434165567,5.344,0.0943785431154538,0.0026584579900372773
2025-06-14 23:42:54,5.824000000000004,0.0008964977459982038,5.12,0.09801000216975808,0.00717845800681971
2025-06-14 23:43:00,6.240000000000005,0.0003552129492163658,5.472,0.04986670799553394,0.017287916998611763
2025-06-14 23:43:06,12.28800000000001,0.0006189270643517375,11.712,0.1039214709890075,0.006190915999468416
2025-06-14 23:43:19,7.424000000000006,0.0003586139064282179,7.36,0.049127160164061934,0.002759833005256951
2025-06-14 23:43:26,6.208000000000005,0.0003535380237735808,5.824,0.04167324388981797,0.00375220799469389
2025-06-14 23:43:32,5.920000000000004,0.00036971530062146485,5.504,0.04322308098198846,0.0034667919971980155
2025-06-14 23:43:38,5.728000000000004,0.00028700262191705406,5.312,0.04286249916185625,0.002027584007009864
2025-06-14 23:43:44,8.480000000000006,0.00021507288329303265,8.096,0.05053125252015889,0.0016358749999199063
2025-06-14 23:43:53,7.936000000000006,0.00022161172819323838,7.776,0.04890062814229168,0.001847124978667125
2025-06-14 23:44:01,5.344000000000004,0.000158036156790331,5.216,0.0348794138408266,0.0012814590008929372
2025-06-14 23:44:06,5.696000000000004,0.00015262491069734097,5.408,0.035075869935099036,0.0011929160100407898
2025-06-14 23:44:12,6.176000000000005,0.00017919790116138756,5.984,0.03909450303763151,0.0012644579983316362
2025-06-14 23:44:18,5.824000000000004,0.00017133326036855578,5.472,0.036750291008502245,0.0012189169938210398
2025-06-14 23:44:24,6.1120000000000045,0.0001878310285974294,5.376,0.03792216596775688,0.0011032499896828085
2025-06-14 23:44:30,5.888000000000004,0.00019975236500613391,5.216,0.04016521104495041,0.0013767500058747828
2025-06-14 23:44:36,10.720000000000008,0.0004086277913302183,10.656,0.09019778872607276,0.0020141249988228083
2025-06-14 23:44:47,7.904000000000006,0.000325839122524485,7.776,0.0750112533569336,0.0017046669963747263
2025-06-14 23:44:55,6.0800000000000045,0.0003349249891471118,5.856,0.12399145707604475,0.0014460829843301326
2025-06-14 23:45:01,6.0800000000000045,0.00030104012694209814,5.984,0.06497933200444095,0.0015637920005246997
2025-06-14 23:45:07,5.792000000000004,0.0002814680337905884,5.312,0.06205453581060283,0.0015184170042630285
2025-06-14 23:45:13,6.208000000000005,0.0003027179045602679,5.984,0.06554478892940097,0.0015609590045642108
2025-06-14 23:45:19,9.376000000000007,0.00038063194369897246,9.248,0.0856508769793436,0.0017808749980758876
2025-06-14 23:45:29,8.448000000000006,0.00037016987334936857,7.488,0.07957705698208883,0.0015794589999131858
2025-06-14 23:45:37,6.176000000000005,0.00030238530598580837,5.92,0.06531149896909483,0.0015932919923216105
2025-06-14 23:45:44,5.344000000000004,0.0002968449261970818,5.152,0.059702704136725515,0.001563333993544802
2025-06-14 23:45:49,6.272000000000005,0.0003057139983866364,5.664,0.0660802120983135,0.0015775420179124922
2025-06-14 23:45:55,6.400000000000005,0.0003107939555775374,5.536,0.06594461598433554,0.0016366250056307763
2025-06-14 23:46:02,6.208000000000005,0.00029730916139669716,5.472,0.06514300001435913,0.0017080830002669245
2025-06-14 23:46:08,6.0480000000000045,0.00017329311231151223,5.344,0.035243457939941436,0.0010612500191200525
2025-06-14 23:46:14,8.864000000000006,0.0003771301417145878,8.608,0.08237713185371831,0.0017894170014187694
2025-06-14 23:46:23,8.064000000000005,0.00036324281245470047,7.712,0.07700000194017775,0.001599084003828466
2025-06-14 23:46:31,7.456000000000006,0.00032009228016249835,7.232,0.07291145974886604,0.0016817919968161732
2025-06-14 23:46:39,7.040000000000005,0.00034155306639149785,6.784,0.07292892469558865,0.0015952500107232481
2025-06-14 23:46:46,10.368000000000007,0.0006151750567369163,10.144,0.08948630685335957,0.00194845802616328
2025-06-14 23:46:56,9.888000000000007,0.0003736369253601879,9.664,0.08680529819685034,0.002181084011681378
2025-06-14 23:47:06,6.0160000000000045,0.0003134087601210922,5.888,0.06490591311012395,0.001639249996514991
2025-06-14 23:47:12,6.0480000000000045,0.0002952140639536083,5.856,0.0629866210219916,0.0017761669878382236
2025-06-14 23:47:19,11.488000000000008,0.00042925364687107503,11.04,0.09355024973046966,0.0024883750011213124
2025-06-14 23:47:30,6.144000000000005,0.0002695815055631101,5.344,0.05110879076528363,0.001611042011063546
2025-06-14 23:47:36,6.976000000000005,0.0003124220238532871,6.432,0.07125079323304817,0.0015797500091139227
2025-06-14 23:47:43,5.344000000000004,0.00030476172105409205,5.12,0.05953695822972804,0.0016797500138636678
2025-06-14 23:47:49,5.664000000000004,0.00028971978463232517,5.152,0.05996162892552093,0.0016420000174548477
2025-06-14 23:47:55,5.760000000000004,0.00024249294074252248,5.248,0.05607346480246633,0.0017111669876612723
2025-06-14 23:48:00,6.0480000000000045,0.00029904788243584335,5.6,0.06334745424101129,0.0015747500001452863
2025-06-14 23:48:06,6.0480000000000045,0.00029304303461685777,5.824,0.06188105515320785,0.0015605000080540776
2025-06-14 23:48:13,6.976000000000005,0.0003702901885844767,6.624,0.06615362581214868,0.0016696249949745834
2025-06-14 23:48:20,5.600000000000004,0.00029237495618872344,5.184,0.0597771659377031,0.0017726669902913272
2025-06-14 23:48:25,7.808000000000006,0.00035721613676287234,7.168,0.07292358996346593,0.001677292020758614
2025-06-14 23:48:33,8.704000000000006,0.000364206061931327,8.544,0.07985320268198848,0.0028368339990265667
